,Time,exchange,vol_total,vol_cny,vol_usd,vol_eur,vol_inr,vol_jpy,vol_krw,vol_sgd
22202,2010-08-03,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5564,2010-08-03,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35442,2010-08-03,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16656,2010-08-03,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19429,2010-08-03,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24975,2010-08-03,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8337,2010-08-03,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2010-08-03,mtgox,9821.46,0.0,9821.46,0.0,0.0,0.0,0.0,0.0
11111,2010-08-04,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19430,2010-08-04,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32666,2010-08-04,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35443,2010-08-04,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16657,2010-08-04,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13884,2010-08-04,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5565,2010-08-04,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8338,2010-08-04,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38235,2010-08-04,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22203,2010-08-04,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2792,2010-08-04,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2010-08-04,mtgox,3494.0,0.0,3494.0,0.0,0.0,0.0,0.0,0.0
24976,2010-08-04,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8339,2010-08-05,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2793,2010-08-05,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38236,2010-08-05,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35444,2010-08-05,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24977,2010-08-05,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16658,2010-08-05,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11112,2010-08-05,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32667,2010-08-05,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19431,2010-08-05,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13885,2010-08-05,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22204,2010-08-05,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2010-08-05,mtgox,5034.07,0.0,5034.07,0.0,0.0,0.0,0.0,0.0
5566,2010-08-05,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35445,2010-08-06,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19432,2010-08-06,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13886,2010-08-06,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22205,2010-08-06,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11113,2010-08-06,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24978,2010-08-06,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16659,2010-08-06,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2794,2010-08-06,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2010-08-06,mtgox,1395.0,0.0,1395.0,0.0,0.0,0.0,0.0,0.0
38237,2010-08-06,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32668,2010-08-06,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5567,2010-08-06,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8340,2010-08-06,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2010-08-07,mtgox,2619.0,0.0,2619.0,0.0,0.0,0.0,0.0,0.0
2795,2010-08-07,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13887,2010-08-07,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22206,2010-08-07,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19433,2010-08-07,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5568,2010-08-07,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24979,2010-08-07,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35446,2010-08-07,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8341,2010-08-07,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32669,2010-08-07,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38238,2010-08-07,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11114,2010-08-07,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16660,2010-08-07,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19434,2010-08-08,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5569,2010-08-08,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2796,2010-08-08,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32670,2010-08-08,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24980,2010-08-08,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13888,2010-08-08,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22207,2010-08-08,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
