,Time,mining level,exchange,price_usd
21228,2016-03-14,158427203767.392,exmo,413.17409330938597
21229,2016-03-14,158427203767.392,coinbase,413.66492068830706
21230,2016-03-14,158427203767.392,gemini,412.979857074392
21231,2016-03-14,158427203767.392,hitbtc,428.03333333333296
21232,2016-03-14,158427203767.392,kraken,412.486837092672
21233,2016-03-14,158427203767.392,others,415.43410856801086
21235,2016-03-15,158427203767.392,itbit,415.273121574955
21236,2016-03-15,158427203767.392,bitfinex,416.065605431186
21237,2016-03-15,158427203767.392,cex.io,420.58494309184096
21238,2016-03-15,158427203767.392,exmo,415.00093018053497
21239,2016-03-15,158427203767.392,coinbase,415.18394602838697
21240,2016-03-15,158427203767.392,gemini,415.455763548628
21241,2016-03-15,158427203767.392,hitbtc,429.31555555555605
21242,2016-03-15,158427203767.392,kraken,415.33189311222395
21243,2016-03-15,158427203767.392,others,415.9276187767105
21245,2016-03-16,158427203767.392,itbit,415.048281115833
21246,2016-03-16,158427203767.392,bitfinex,415.50381299266604
21247,2016-03-16,158427203767.392,cex.io,420.68644654316705
21248,2016-03-16,158427203767.392,exmo,415.02620413177004
21249,2016-03-16,158427203767.392,coinbase,414.993493926791
21250,2016-03-16,158427203767.392,gemini,415.43527884426595
21251,2016-03-16,158427203767.392,hitbtc,432.4775
21252,2016-03-16,158427203767.392,kraken,415.230487687782
21253,2016-03-16,158427203767.392,others,414.7442693094225
21255,2016-03-17,158427203767.392,itbit,418.03088139996595
21256,2016-03-17,158427203767.392,bitfinex,418.61368707716906
21257,2016-03-17,158427203767.392,cex.io,422.281813049407
21258,2016-03-17,158427203767.392,exmo,415.921007299974
21259,2016-03-17,158427203767.392,coinbase,418.144088115354
21260,2016-03-17,158427203767.392,gemini,418.08391761909894
21261,2016-03-17,158427203767.392,hitbtc,439.833561728395
21262,2016-03-17,158427203767.392,kraken,419.953327096741
21263,2016-03-17,158427203767.392,others,417.64447324357985
21265,2016-03-18,165496835118.22598,itbit,413.588449957816
21266,2016-03-18,165496835118.22598,bitfinex,412.40456388717996
21267,2016-03-18,165496835118.22598,cex.io,418.18340231042197
21268,2016-03-18,165496835118.22598,exmo,413.316147029195
21269,2016-03-18,165496835118.22598,coinbase,412.882035176639
21270,2016-03-18,165496835118.22598,gemini,412.386141865314
21271,2016-03-18,165496835118.22598,hitbtc,430.43665151515097
21272,2016-03-18,165496835118.22598,kraken,414.314916658296
21273,2016-03-18,165496835118.22598,others,412.5679688497686
21275,2016-03-19,165496835118.22598,itbit,407.64990844968804
21276,2016-03-19,165496835118.22598,bitfinex,406.98854622027704
21277,2016-03-19,165496835118.22598,cex.io,414.59433700233103
21278,2016-03-19,165496835118.22598,exmo,408.477184259658
21279,2016-03-19,165496835118.22598,coinbase,408.46786718269897
21280,2016-03-19,165496835118.22598,gemini,407.476776449572
21281,2016-03-19,165496835118.22598,hitbtc,427.110404040404
21282,2016-03-19,165496835118.22598,kraken,408.947082185746
21283,2016-03-19,165496835118.22598,others,409.0369986758005
21285,2016-03-20,165496835118.22598,itbit,410.51350793285695
21286,2016-03-20,165496835118.22598,bitfinex,410.75607013245906
21287,2016-03-20,165496835118.22598,cex.io,417.023626891245
21288,2016-03-20,165496835118.22598,exmo,411.31794980188795
21289,2016-03-20,165496835118.22598,coinbase,411.519644566038
21290,2016-03-20,165496835118.22598,gemini,410.266136588611
21291,2016-03-20,165496835118.22598,hitbtc,422.735
21292,2016-03-20,165496835118.22598,kraken,412.064027079406
21293,2016-03-20,165496835118.22598,others,410.34461920653155
21295,2016-03-21,165496835118.22598,itbit,409.50609694090895
21296,2016-03-21,165496835118.22598,bitfinex,409.578567227589
21297,2016-03-21,165496835118.22598,cex.io,417.197842910978
21298,2016-03-21,165496835118.22598,exmo,411.611624299063
21299,2016-03-21,165496835118.22598,coinbase,409.547302853818
21300,2016-03-21,165496835118.22598,gemini,410.040538226094
21301,2016-03-21,165496835118.22598,hitbtc,430.76216416862803
21302,2016-03-21,165496835118.22598,kraken,410.412322267627
21303,2016-03-21,165496835118.22598,others,408.72561149016633
21305,2016-03-22,165496835118.22598,itbit,415.77134057501604
21306,2016-03-22,165496835118.22598,bitfinex,416.01176193650804
21307,2016-03-22,165496835118.22598,cex.io,419.37931044022696
21308,2016-03-22,165496835118.22598,exmo,417.889609414441
21309,2016-03-22,165496835118.22598,coinbase,415.67275342732
21310,2016-03-22,165496835118.22598,gemini,415.92107169971604
21311,2016-03-22,165496835118.22598,hitbtc,429.157786195286
21312,2016-03-22,165496835118.22598,kraken,415.71245790291704
21313,2016-03-22,165496835118.22598,others,415.0141877129302
21315,2016-03-23,165496835118.22598,itbit,417.162493441622
21316,2016-03-23,165496835118.22598,bitfinex,417.616327951979
21317,2016-03-23,165496835118.22598,cex.io,420.58253285957494
21318,2016-03-23,165496835118.22598,exmo,421.295414863384
21319,2016-03-23,165496835118.22598,coinbase,417.037552477144
21320,2016-03-23,165496835118.22598,gemini,417.34499756519403
21321,2016-03-23,165496835118.22598,hitbtc,429.496875
21322,2016-03-23,165496835118.22598,kraken,415.74370525373297
21323,2016-03-23,165496835118.22598,others,416.06857386899947
21325,2016-03-24,165496835118.22598,itbit,415.667308986966
21326,2016-03-24,165496835118.22598,bitfinex,416.156596909994
21327,2016-03-24,165496835118.22598,cex.io,419.48541839921796
21328,2016-03-24,165496835118.22598,exmo,416.95193597270895
21329,2016-03-24,165496835118.22598,coinbase,415.72218697642603
21330,2016-03-24,165496835118.22598,gemini,415.958686957141
21331,2016-03-24,165496835118.22598,hitbtc,429.397777777778
21332,2016-03-24,165496835118.22598,kraken,416.230866170159
21333,2016-03-24,165496835118.22598,others,415.6055644236158
21335,2016-03-25,165496835118.22598,itbit,415.35338230194196
21336,2016-03-25,165496835118.22598,bitfinex,415.70026846225403
21337,2016-03-25,165496835118.22598,cex.io,419.084017030548
21338,2016-03-25,165496835118.22598,exmo,415.52231797127195
21339,2016-03-25,165496835118.22598,coinbase,414.824749459135
21340,2016-03-25,165496835118.22598,gemini,415.70703992672304
21341,2016-03-25,165496835118.22598,hitbtc,431.33
21342,2016-03-25,165496835118.22598,kraken,416.175779797388
21343,2016-03-25,165496835118.22598,others,414.08568899979065
21345,2016-03-26,165496835118.22598,itbit,416.114647914721
21346,2016-03-26,165496835118.22598,bitfinex,416.460133564079
21347,2016-03-26,165496835118.22598,cex.io,419.506523323461
21348,2016-03-26,165496835118.22598,exmo,416.51563529973197
